Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Beatriz_forense	"#COVID19 
Para l@s que no creeis en la pandemia ni el el covid19. Teneis una oportunidad de ayudar a l@s demas. Ofreceros a cualquier centro sanitario. Se agradecera vuestra ayuda. https://t.co/s12q2DSeMk"	2020-08-08 19:35:35	es		0.0	0.0		Beatriz Salazar 🌹	"Psicologa forense UCM. Mediadora. Formadora temas sanitarios .
ENFERMERA  en el covid19.
Comprometida, positiva y solidaria."	951.0	121.0	132.0	198.0	0.0	False		
@consciencia7777	@futpicante Pues un héroe del fútbol pero no nos salvo del covid19.	2020-08-08 19:35:32	es		0.0	0.0	@futpicante	El peor virus para México es el Morena-virus.	Pinche matrix de mierda (iluminati) #valquirico #mirmidon #mirmidones #nessios	16789.0	25965.0	4573.0	2502.0	6.0	False		
@byronalberivad2	@JulietaSagnay Perdió los anticuerpos? Eso delata esa prueba? Si es así no hay seguridad de una recaída a las personas que superaron el COVID19. Terrible!	2020-08-08 19:35:07	es		0.0	0.0	@JulietaSagnay	byronalbertorivadeneira	Dios es el centro del universo,  estamos de paso, dejamos huella, al final regresamos a su presencia.	14817.0	36027.0	595.0	249.0	0.0	False		
@adrianmazzo	POR ESTA RAZÓN TENGO MIEDO A ENFERMARME  EN ESTOS DÍAS DE GRIPE O DE TOS , ACUDIR AL HOSPITAL .... Y VAYAN A DECIR QUE PUEDO TENER #COVID19  Y QUE EN REALIDAD SEA DENGUE U OTRA COSA @ANPNL05 https://t.co/juKcVPxVj6	2020-08-08 19:35:07	es		0.0	1.0		ADRIAN MAZZO	‼️EL RESILIENTE‼️INGENIERO INDUSTRIAL Y DISEÑADOR DE INTERIORES . SI TE GUSTAN MIS TWEETS .... 🔁SÍGUEME Y TE SIGO 🔁	15633.0	715.0	876.0	713.0	0.0	False		
@VonBingen2	"Con una ojeadita, vale, si aunque el paciente lleve 20 navajazos va a pasar a engrosar las listas de Covid19.

Vayan a la mierda, gracias. https://t.co/Sq9t00LSuL"	2020-08-08 19:35:05	es		0.0	0.0		Von Bingen	"En lucha contra un mundo basado en una ""libertad de conciencia"" impuesta por psicópatas que no tienen conciencia.
La verdad solo es una, y me hace libre."	44940.0	47448.0	513.0	1750.0	13.0	False		
@PNUD_Venezuela	Te presentamos el nuevo boletín de @PNUD_ALGenera sobre la labor del PNUD en la región en materia de género y en marco de la coyuntura de #COVID19: acciones y respuestas para la promoción de la igualdad en nuestros países: Conócelo aquí: https://t.co/BpIAZdd3CJ https://t.co/N5ebYTqLf9	2020-08-08 19:35:05	es		0.0	0.0		PNUD Venezuela	Cuenta oficial del Programa de las Naciones Unidas para el Desarrollo (PNUD) en Venezuela.	6543.0	1947.0	403.0	4840.0	86.0	True		
@CanoMartinPena	"[CORONAVIRUS] ¿Qué pasa luego de una exposición al COVID - 19?

#health #weekend #summer #hot #coronavirus #covid19 #stayhome #cuidate #cuidanos #quedateencasa #protegete #protegenos #prueba #virus #followme https://t.co/fIX4h4rUDA"	2020-08-08 19:35:04	es		0.0	0.0		Proyecto ENLACE	Seeks to overcome poverty & attain social & environmental justice. Addresses major environmental degradation issues, promoting safer and healthier communities.	11780.0	1814.0	1615.0	2911.0	28.0	False		
@gorka_orive	Personas de ascendencia africana y con genotipo APOL1 están sufriendo lo que se conoce como nefropatía asociada a #COVID19 (Glomerulopatía Colapsante). Importante a considerarse especialmente en este tipo de pacientes. https://t.co/N9nYnlMzRv https://t.co/4eQYXCyauc	2020-08-08 19:35:04	es		1.0	2.0		Gorka Orive, PhD	Associate Prof. Pharmacy @upvehu | Scientist | Advisor  | Founder of Geroa Diagnostics in #Alzheimer (https://t.co/N4O9Jua3Bl) |  Tweets are mine	10422.0	17210.0	2933.0	12714.0	237.0	False		
@melaniebonillo	Ayudemos a Juan en su lucha contra el COVID-19 https://t.co/lXPPRJ5aO0 @ElNacionalWeb @noticias24 @UNoticias	2020-08-08 19:35:02	es		0.0	0.0		Melanie Bonillo		4917.0	44.0	254.0	250.0	2.0	False		
@pedregullo1968	"@NILDA22823386 @LuisLacallePou @AlvaroDelgadoUy @MartinLemaUy Comparto totalmente doña, lo de gastos de representación no lo comparto. 
En estos tiempos de penurias económicas por la herencia de desastrosa administración frenteamplista y Covid19 incluido, creo que sacar ese gasto superfluo es una muy buena señal para todos."	2020-08-08 19:35:00	es		0.0	0.0	@NILDA22823386	Pedregullo1968	siempre cargando pedregullo...	6569.0	8720.0	1702.0	447.0	0.0	False		
@CanalCaribeCuba	"#CanalCaribe | Desde este 8 de agosto, La Habana en Fase de Transmisión Autóctona de la #COVID19😷.

Te mostramos algunas medidas a adoptar 👇 https://t.co/1PEZXJsAK5"	2020-08-08 19:34:42	es		1.0	1.0		Canal Caribe	Canal Cubano de Noticias	25950.0	13366.0	239.0	8156.0	47.0	False		
@joseasuero1	Para un partido en el gobierno ,en cualquier país del mundo enfrentar el @covid19  y luchar para ganar las  elecciones, es una situación de muy pocas posibilidades de éxito, el @covid19 obligó al gob. y al @PLD  aislarse de la operatividad de una campaña q demandaba su presencia.	2020-08-08 19:34:39	es		0.0	0.0		jose alexander suero	Abogado de los tribunales de la República Dominicana	5255.0	1540.0	1524.0	640.0	1.0	False		
@llegoelmoreno	#FórumdeCienciayTécnica  #COVID19 #CubaesSalud #CubaSalva #CubaesSolidaridad #LasTunas #PensarComoPaís #TodosSomosFidel @DiazCanelB @FrankAguiar @demevilla @SalvadorCurbelo @ivonnealbelo En Audio: Por primera vez fabrican embutidos, gracias al Fórum https://t.co/PmpiIeUl2u	2020-08-08 19:34:34	es		0.0	0.0		Olivares Chávez J.M.		3562.0	10.0	567.0	383.0	3.0	False		
@DarioTremont	"QTal Jorgito? El Señor de las Ollas y de las ""cifras"" covid19, acusa? https://t.co/ZWDvnIkKVG"	2020-08-08 19:34:31	es		0.0	0.0		📢DaríoVP ⏩🇻🇪	"En construccion..!!
Activista, Constructor de #LaMejorVzla y fundador de Voluntad Popular en Falcon

180Grados..."	20533.0	4796.0	963.0	1820.0	19.0	False		
@jmhoyo1	"El Presidente @sanchezcastejon confirma que la farmacéutica estadounidense MODERNA y los Laboratorios Rovi fabricarán la vacuna ARNm-1273 contra la #COVID19 en las instalaciones de #Madrid.
https://t.co/yhdSuut3Da"	2020-08-08 19:34:18	es		1.0	0.0		José Manuel/❤ #AhoraSí	"Casado y padre. #Socialista y Alcalde de #Brunete.
#YAhoraAvanzar
#BruneteSientelo
#SiempreHaciaDelante"	24314.0	19357.0	465.0	1261.0	15.0	False		
@anonimousing19	Los que acusan a los pobres de irresponsables por contagiarse de covid19, son los mismos que están en una hacienda de 1500 hectáreas con la nevera llena? Vuelvo a pregunta, quién es más IRRESPONSABLE?? @helenasanchezt @qqtoche @renzomoralesdia @LuchoJacobsen @MafeCarrascal	2020-08-08 19:34:17	es		0.0	0.0		anonimousin	"Un anónimo más que vive en OTRAPARTE...  a la ENEMIGA. ""El que no está consigo mismo, no está conmigo."""	25129.0	17443.0	2306.0	1918.0	10.0	False		
